Type	|V|   	|E|   	dmax   	davg   	r   	|T|   	Tavg   	Tmax   	κavg   	κ   	K   	ωheu   	Size	Download
misc	2K	22K	171	26	-0.08	7K	4	169	0.01	0.01	20	3	56 KB	    Download
misc	3K	46K	289	32	-0.07	25K	8	251	0.01	0.01	26	4	120 KB	    Download
misc	5K	91K	403	38	-0.08	67K	14	486	0.01	0.01	32	4	237 KB	    Download
misc	8K	173K	537	45	-0.10	153K	20	1K	0.01	0.01	38	4	459 KB	    Download
misc	12K	324K	753	53	-0.08	437K	36	3K	0.01	0.01	47	5	878 KB	    Download
misc	19K	588K	1K	62	-0.02	2M	85	13K	0.02	0.02	56	8	2 MB	    Download
misc	30K	1M	1K	68	-0.09	2M	75	11K	0.01	0.01	66	6	3 MB	    Download
misc	48K	2M	2K	74	-0.13	4M	76	14K	0.01	0.01	71	6	5 MB	    Download
misc	77	251	23	6	-0.17	27	-	6	0.02	0.01	6	2	2 KB	    Download
misc	150	549	26	7	-0.02	-	-	-	-	-	7	2	2 KB	    Download
misc	292	2K	57	11	-0.04	240	-	32	0.01	0.01	10	3	5 KB	    Download
misc	540	5K	71	16	0.00	2K	4	67	0.02	0.02	13	3	12 KB	    Download
misc	896K	4M	2K	8	-0.05	13K	-	78	0.00	0.00	24	3	16 MB	    Download
misc	21K	176K	24	16	-0.32	41K	1	27	0.02	0.01	13	4	1 MB	    Download
misc	124	6K	123	96	-0.23	510K	4K	6K	0.87	0.85	75	65	21 KB	    Download
misc	9K	34K	54	7	0.00	80K	9	92	0.28	0.25	9	4	439 KB	    Download
misc	28K	101K	22	7	-0.28	925	-	18	0.00	0.00	8	3	1 MB	    Download
misc	4K	13K	740	5	-0.12	28K	6	2K	0.21	0.04	9	7	39 KB	    Download
misc	7K	167K	97	46	-0.05	5M	757	2K	0.77	0.59	32	32	1 MB	    Download
misc	18K	36K	4	3	0.32	-	-	-	-	-	3	2	136 KB	    Download
misc	956	2K	4	3	0.18	-	-	-	-	-	3	2	6 KB	    Download
misc	18	32	4	3	0.45	-	-	-	-	-	3	2	1 KB	    Download
misc	20K	40K	4	3	0.57	-	-	-	-	-	3	2	226 KB	    Download
misc	14	16	4	2	0.47	-	-	-	-	-	3	2	1 KB	    Download
misc	20K	30K	4	2	1.00	-	-	-	-	-	3	2	201 KB	    Download
misc	2M	5M	656K	4	-	965K	-	209K	0.07	0.00	5	3	16 MB	    Download
misc	9K	42K	1K	9	-0.10	160K	18	1K	0.30	0.06	16	9	130 KB	    Download
misc	256K	755K	6	5	0.79	-	-	-	-	-	4	2	6 MB	    Download
misc	682	1K	16	4	-0.12	-	-	-	-	-	5	2	7 KB	    Download
misc	528	1K	14	4	-0.17	-	-	-	-	-	5	2	6 KB	    Download
misc	1K	2K	24	4	-0.07	-	-	-	-	-	5	2	11 KB	    Download
misc	1K	2K	14	4	-0.15	-	-	-	-	-	5	2	10 KB	    Download
misc	2K	4K	24	4	-0.06	-	-	-	-	-	5	2	20 KB	    Download
misc	2K	4K	14	4	-0.14	-	-	-	-	-	5	2	18 KB	    Download
misc	4K	8K	24	4	-0.05	-	-	-	-	-	5	2	36 KB	    Download
misc	4K	8K	14	4	-0.14	-	-	-	-	-	5	2	35 KB	    Download
misc	32	225	28	14	-0.30	3K	89	221	1.04	0.68	13	11	2 KB	    Download
misc	555	4K	139	15	-0.21	20K	35	886	0.15	0.11	20	8	29 KB	    Download
misc	2K	18K	495	21	-0.19	221K	130	9K	0.19	0.12	31	15	117 KB	    Download
misc	2K	27K	650	27	-0.19	538K	273	17K	0.21	0.14	44	18	155 KB	    Download
misc	5K	93K	2K	39	-0.26	2M	369	43K	0.19	0.06	60	15	590 KB	    Download
misc	21K	538K	6K	50	-0.25	18M	840	284K	0.13	0.04	107	27	4 MB	    Download
misc	47K	1M	10K	51	-0.29	2M	50	23K	0.01	0.00	112	7	8 MB	    Download
misc	75K	1M	7K	34	-0.23	13M	167	144K	0.04	0.01	154	13	10 MB	    Download
misc	7K	82K	48	22	-0.07	1M	172	408	0.76	0.57	16	16	473 KB	    Download
misc	6K	150K	203	51	0.78	13M	2K	16K	0.34	0.75	170	169	1 MB	    Download
misc	392K	1M	646	7	-0.06	45K	-	229	0.00	0.00	18	5	5 MB	    Download
misc	326K	908K	11K	5	-0.04	11M	33	174K	0.19	0.05	62	13	2 MB	    Download
misc	2K	2K	56	2	-0.16	666	-	18	0.06	0.06	6	5	9 KB	    Download
misc	3K	18K	604	12	-0.16	84K	28	3K	0.30	0.07	15	9	55 KB	    Download
misc	44K	212K	63	9	0.07	1M	23	233	0.60	0.40	10	9	2 MB	    Download
misc	15K	71K	63	9	0.01	342K	22	197	0.62	0.41	10	7	613 KB	    Download
misc	30K	136K	75	9	0.00	667K	22	248	0.60	0.40	11	9	1 MB	    Download
misc	11K	23K	2K	4	-0.19	60K	5	4K	0.29	0.01	18	13	70 KB	    Download
misc	12K	33K	2K	5	-0.16	269K	22	7K	0.34	0.04	32	14	95 KB	    Download
misc	11K	24K	205	4	0.24	164K	15	2K	0.27	0.38	32	20	88 KB	    Download
misc	161K	8M	166	50.82	-	-	-	-	-	-	-	-	97 MB	    Download
misc	8K	5K	36	1	-0.05	12	-	1	0.00	0.00	5	3	59 KB	    Download
misc	12K	6K	30	1	0.45	6	-	1	0.00	0.00	9	3	34 KB	    Download
misc	15K	350K	49	47	0.53	9M	618	648	0.57	0.56	26	18	4 MB	    Download
misc	749	4K	23	10	0.07	1K	1	27	0.02	0.03	8	4	18 KB	    Download
misc	74K	366K	276	9	0.01	1K	-	169	0.00	0.00	13	7	2 MB	    Download
misc	382K	37M	480	98.16	-	-	-	-	-	-	-	-	419 MB	    Download
misc	24	71	18	5	-0.34	220	9	46	0.42	0.34	7	5	1 KB	    Download
misc	23	61	16	5	-0.23	149	6	27	0.53	0.33	5	4	1 KB	    Download
misc	264K	1M	81K	7	0.20	2M	7	161K	0.20	0.00	8	5	7 MB	    Download
misc	13K	148K	2K	22	-0.11	4M	263	70K	0.37	0.11	74	25	521 KB	    Download
misc	1K	5K	39	9	0.22	9K	9	93	0.14	0.14	9	6	14 KB	    Download
misc	2M	8M	112	3.94	-	-	-	-	-	-	-	-	78 MB	    Download
misc	682	1K	16	4	-0.12	-	-	-	-	-	5	2	7 KB	    Download
misc	528	1K	14	4	-0.17	-	-	-	-	-	5	2	6 KB	    Download
misc	1K	2K	24	4	-0.07	-	-	-	-	-	5	2	11 KB	    Download
misc	1K	2K	14	4	-0.15	-	-	-	-	-	5	2	10 KB	    Download
misc	2K	4K	24	4	-0.06	-	-	-	-	-	5	2	20 KB	    Download
misc	2K	4K	14	4	-0.14	-	-	-	-	-	5	2	18 KB	    Download
misc	4K	8K	24	4	-0.05	-	-	-	-	-	5	2	36 KB	    Download
misc	4K	8K	14	4	-0.14	-	-	-	-	-	5	2	35 KB	    Download
misc	86	124	12	2	-0.26	126	1	7	0.41	0.27	5	5	1 KB	    Download
misc	360	607	28	3	-0.11	21	-	3	0.01	0.01	4	3	3 KB	    Download
misc	3K	10K	164	6	-0.03	19K	6	297	0.15	0.10	10	8	33 KB	    Download
misc	1M	33M	250	23.69	-	-	-	-	-	-	-	-	300 MB	    Download
misc	17K	429K	392	50	0.75	37M	2K	37K	0.30	0.68	196	196	3 MB	    Download
misc	769	9K	60	22	0.69	79K	102	903	0.31	0.37	42	42	54 KB	    Download
misc	98K	3M	493	51	0.79	252M	3K	60K	0.28	0.70	248	244	15 MB	    Download
misc	186K	8M	663	40.93	-	-	-	-	-	-	-	-	70 MB	    Download
misc	20K	359K	350	36	0.92	13M	637	40K	0.24	0.57	274	274	2 MB	    Download
misc	240K	5M	360	43	0.83	245M	1K	30K	0.26	0.60	175	175	33 MB	    Download
misc	5K	83K	204	33	0.86	3M	650	16K	0.28	0.61	179	179	389 KB	    Download
misc	6K	97K	249	33	0.83	4M	613	19K	0.27	0.56	170	170	624 KB	    Download
misc	33K	642K	583	38	0.95	63M	2K	124K	0.25	0.78	490	490	4 MB	    Download
misc	155K	6M	3K	71	0.96	7B	44K	3M	0.24	0.96	2K	2K	39 MB	    Download
misc	2K	13K	5K	10	-0.45	54K	23	9K	0.68	0.00	8	5	131 KB	    Download
misc	1K	5K	232	9	-0.19	17K	16	667	0.30	0.09	11	8	14 KB	    Download
misc	395	994	147	5	-0.30	5K	12	449	0.33	0.16	10	8	3 KB	    Download
misc	282K	2M	39K	16	-0.10	49M	172	382K	0.59	0.01	87	17	9 MB	    Download
misc	683K	8M	84K	22	-0.18	322M	471	1M	0.64	0.01	337	18	18 MB	    Download
misc	1M	11M	190	7.67	-	-	-	-	-	-	-	-	109 MB	    Download
misc	10	45	9	9	-	360	36	36	1	1	10	10	1 KB	    Download
misc	107	602	21	11	0.34	1K	12	46	0.22	0.19	9	5	3 KB	    Download
misc	236	2K	25	13	0.25	2K	10	35	0.12	0.11	10	5	5 KB	    Download
misc	552	4K	38	15	0.19	4K	6	43	0.06	0.05	11	4	13 KB	    Download
misc	1K	11K	41	17	0.09	6K	4	38	0.04	0.03	12	5	33 KB	    Download
misc	3K	30K	54	18	0.04	9K	2	43	0.02	0.01	13	4	91 KB	    Download
misc	8K	80K	66	20	-0.01	13K	1	30	0.01	0.01	13	4	249 KB	    Download
misc	19K	216K	77	22	-0.07	16K	-	22	0.00	0.00	15	4	698 KB	    Download
misc	49K	586K	86	24	-0.07	25K	-	21	0.00	0.00	16	4	2 MB	    Download
misc	124K	2M	96	25	-0.11	32K	-	23	0.00	0.00	16	4	5 MB	    Download
misc	318K	4M	107	27	-0.13	39K	-	22	0.00	0.00	17	4	15 MB	    Download
misc	2K	45K	46	42	0.00	-	-	-	-	-	41	2	216 KB	    Download
misc	8K	1M	2K	246	-0.03	160M	20K	80K	0.44	0.24	456	153	12 MB	    Download
misc	10K	406K	4K	82	-0.12	9M	896	1K	0.33	0.04	63	22	4 MB	    Download
misc	11K	303K	5K	56	-0.25	21M	2K	276K	0.37	0.06	73	48	2 MB	    Download
misc	31K	897K	15K	58	-0.26	64M	2K	825K	0.36	0.02	74	47	5 MB	    Download
misc	41K	1M	20K	58	-0.26	85M	2K	1M	0.36	0.02	74	47	7 MB	    Download
misc	29K	2M	14K	150	-0.27	450M	15K	2M	0.38	0.06	201	102	15 MB	    Download
misc	29K	2M	14K	150	-0.27	450M	15K	2M	0.38	0.06	201	102	15 MB	    Download
misc	57K	4M	28K	154	-0.27	900M	16K	4M	0.38	0.03	202	104	30 MB	    Download
misc	84K	7M	42K	77.93	-	-	-	-	-	-	-	-	45 MB	    Download
misc	76K	979K	38K	25	-0.24	25M	326	808K	0.33	0.00	30	21	3 MB	    Download
misc	120K	2M	60K	25	0.50	39M	327	1M	0.33	0.00	30	21	5 MB	    Download
misc	28K	361K	14K	25	-0.24	9M	325	298K	0.33	0.01	30	21	1 MB	    Download
misc	2K	12K	1K	9	-0.18	61K	24	7K	0.24	0.03	9	7	46 KB	    Download
misc	14K	72K	7K	9	-0.19	361K	24	40K	0.23	0.00	9	7	251 KB	    Download
misc	5K	200K	3K	74	-0.17	616K	114	3K	0.07	0.01	52	9	1 MB	    Download
misc	15K	595K	8K	77	-0.18	2M	117	8K	0.06	0.00	52	9	4 MB	    Download
misc	20K	792K	10K	77	-0.18	2M	118	10K	0.06	0.00	52	9	5 MB	    Download
misc	26K	7M	11K	26B	-	-	-	-	-	-	-	-	48 MB	    Download
misc	38K	16M	16K	424B	-	-	-	-	-	-	-	-	127 MB	    Download
misc	38K	16M	16K	424B	-	-	-	-	-	-	-	-	127 MB	    Download
misc	15K	1M	7K	200	-0.18	4M	302	7K	0.04	0.00	140	7	11 MB	    Download
misc	28K	3M	14K	205	-0.19	9M	309	14K	0.03	0.00	140	7	22 MB	    Download
misc	42K	4M	21K	207	-0.19	13M	312	21K	0.02	0.00	140	7	33 MB	    Download
misc	38K	646K	19K	33	-0.17	2M	51	19K	0.12	0.00	22	7	2 MB	    Download
misc	60K	1M	30K	33	-0.17	3M	51	30K	0.12	0.00	22	7	3 MB	    Download
misc	14K	238K	7K	33	-0.17	729K	51	7K	0.12	0.00	22	7	715 KB	    Download
misc	19K	4M	9K	468	-0.18	13M	702	9K	0.04	0.00	342	7	26 MB	    Download
misc	36K	9M	17K	246B	-	-	-	-	-	-	-	-	51 MB	    Download
misc	7K	47K	4K	12	-0.13	148K	20	4K	0.32	0.01	9	5	172 KB	    Download
misc	11	29	9	5	-0.06	67	6	13	0.53	0.47	5	4	1 KB	    Download
misc	11	36	10	6	-0.21	112	10	19	0.55	0.51	6	5	1 KB	    Download
misc	11	41	12	7	-0.04	178	16	31	0.64	0.61	6	5	1 KB	    Download
misc	11	48	12	8	-0.15	260	23	37	0.69	0.66	7	6	1 KB	    Download
misc	478	9K	180	35	-0.56	97K	203	3K	0.22	0.15	38	9	22 KB	    Download
misc	1K	36K	331	62	-0.54	547K	480	8K	0.15	0.11	70	9	92 KB	    Download
misc	3K	151K	652	110	-0.44	4M	1K	35K	0.11	0.09	134	9	389 KB	    Download
misc	7K	654K	2K	199	-0.28	37M	6K	256K	0.11	0.11	268	14	2 MB	    Download
misc	16K	3M	3K	361	-0.14	199M	12K	714K	0.07	0.07	510	14	8 MB	    Download
misc	2	1	1	1	-	-	-	-	-	-	2	2	1 KB	    Download
misc	3	2	2	1	1	-	-	-	-	-	2	2	1 KB	    Download
misc	7	10	6	2	-0.81	12	1	4	0.67	0.41	3	3	1 KB	    Download
misc	15	37	11	4	-0.65	96	6	20	0.57	0.42	5	5	1 KB	    Download
misc	36	142	29	7	-0.57	580	16	82	0.60	0.32	8	5	1 KB	    Download
misc	84	540	51	12	-0.57	4K	43	249	0.47	0.28	13	7	2 KB	    Download
misc	201	2K	94	21	-0.61	18K	91	984	0.30	0.20	21	9	6 KB	    Download
misc	150	945	14	12	0.41	2K	15	19	0.22	0.22	9	3	4 KB	    Download
misc	20	69	8	6	0.07	150	7	10	0.36	0.36	6	3	1 KB	    Download
misc	200	1K	15	13	0.45	3K	17	20	0.20	0.20	9	3	5 KB	    Download
misc	2K	20K	21	19	0.70	54K	26	29	0.14	0.14	12	3	62 KB	    Download
misc	20K	267K	28	26	0.73	742K	37	40	0.11	0.11	16	3	883 KB	    Download
misc	20K	267K	28	26	0.73	742K	37	40	0.11	0.11	16	3	883 KB	    Download
misc	199	1K	15	13	0.45	3K	17	20	0.20	0.20	9	3	5 KB	    Download
misc	19	64	8	6	0.06	138	7	10	0.37	0.37	6	3	1 KB	    Download
misc	300	2K	16	14	0.48	6K	18	22	0.19	0.19	10	3	8 KB	    Download
misc	500	4K	17	15	0.61	10K	20	23	0.18	0.17	10	3	13 KB	    Download
misc	700	6K	18	17	0.55	16K	22	25	0.16	0.16	11	3	20 KB	    Download
misc	332	2K	139	12	-0.21	37K	110	1K	0.63	0.40	27	22	11 KB	    Download
misc	5K	7K	19	2	0.00	2K	-	21	0.08	0.10	6	6	23 KB	    Download
misc	80K	155K	5K	3	-0.15	60K	-	2	0.30	0.00	3	3	833 KB	    Download
misc	80K	151K	5K	3	-0.14	60K	-	2	0.31	0.00	3	3	808 KB	    Download
misc	60K	110K	10K	3	-0.11	30K	-	2	0.19	0.00	3	3	558 KB	    Download
misc	9K	73K	379	16	-0.56	20K	2	651	0.02	0.00	12	6	163 KB	    Download
misc	9K	71K	469	16	-0.53	20K	2	262	0.02	0.00	13	5	158 KB	    Download
misc	9K	71K	469	16	-0.53	20K	2	262	0.02	0.00	13	5	158 KB	    Download
misc	7K	52K	410	14	-0.62	24K	3	644	0.04	0.00	11	5	120 KB	    Download
misc	8K	66K	359	15	-0.54	22K	2	428	0.02	0.00	12	5	148 KB	    Download
misc	7K	52K	368	14	-0.54	14K	1	433	0.03	0.00	11	4	118 KB	    Download
misc	313	2K	32	9	-0.24	289	-	16	0.01	0.02	7	3	4 KB	    Download
misc	15K	51K	341	7	-0.91	2K	-	36	0.01	0.00	5	4	135 KB	    Download
misc	38K	137K	553	7	-0.95	4K	-	48	0.01	0.00	5	3	369 KB	    Download
misc	69K	7M	15K	213	0.26	4B	60K	15M	1.02	0.29	1K	60	21 MB	    Download
misc	384K	1M	655	7	-0.06	39K	-	410	0.00	0.00	18	5	5 MB	    Download
misc	7M	14M	4	3	0.67	-	-	-	-	-	3	2	45 MB	    Download
misc	2K	15K	246	12	0.36	323K	134	7K	0.49	0.33	71	32	125 KB	    Download
misc	5K	19K	62	7	0.03	60K	12	168	0.46	0.23	7	6	198 KB	    Download
misc	2K	9K	3K	10	-0.18	46K	25	8K	0.64	0.01	9	5	60 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	100 KB	    Download
misc	2K	9K	3K	10	-0.18	47K	25	8K	0.66	0.01	9	5	111 KB	    Download
misc	2K	9K	3K	10	-0.18	47K	25	8K	0.66	0.01	9	5	114 KB	    Download
misc	2K	9K	3K	10	-0.18	47K	25	8K	0.66	0.01	8	5	115 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	115 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	116 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	115 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	114 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	115 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	115 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	113 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	113 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	111 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	111 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	112 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	112 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	110 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	107 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	109 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	107 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	104 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	103 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	99 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	98 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	103 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	100 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	98 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	100 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	99 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	94 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	96 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	98 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	95 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	98 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	95 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	100 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	97 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	94 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	92 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	92 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	93 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	90 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	90 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	87 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	87 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	85 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	86 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	88 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	88 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	89 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	88 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	87 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	88 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	87 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	87 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	86 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	83 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	82 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	82 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	81 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	81 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	81 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	81 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	81 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	81 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	81 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	81 KB	    Download
misc	2K	9K	3K	10	-0.18	48K	26	8K	0.65	0.01	9	5	81 KB	    Download
misc	2K	13K	3K	14	-0.16	80K	43	12K	0.54	0.02	13	5	129 KB	    Download
misc	2K	13K	3K	14	-0.16	80K	43	12K	0.54	0.02	13	5	129 KB	    Download
misc	112	425	49	7	-0.13	852	7	137	0.17	0.16	7	5	2 KB	    Download
misc	112	425	49	7	-0.13	852	7	137	0.17	0.16	7	5	2 KB	    Download
misc	5K	47K	941	18	-0.08	494K	95	11K	0.29	0.11	32	9	176 KB	    Download
misc	24K	461K	40	39	0.77	2M	92	96	0.12	0.12	21	3	3 MB	    Download
misc	504K	9M	34	33	0.56	168M	333	336	0.60	0.60	20	15	105 MB	    Download
misc	504K	9M	34	33	0.56	168M	333	336	0.60	0.60	20	15	105 MB	    Download
misc	504K	9M	34	33	0.56	168M	333	336	0.60	0.60	20	15	105 MB	    Download
misc	504K	9M	34	33	0.56	168M	333	336	0.60	0.60	20	15	105 MB	    Download
misc	504K	9M	34	33	0.56	168M	333	336	0.60	0.60	20	15	105 MB	    Download
misc	504K	9M	34	33	0.56	168M	333	336	0.60	0.60	20	15	105 MB	    Download
misc	399K	7M	39	33	0.33	132M	331	391	0.60	0.60	20	15	29 MB	    Download
misc	2M	26M	34	33	0.54	505M	335	336	0.60	0.60	20	15	181 MB	    Download
misc	505K	9M	39	33	0.51	169M	333	391	0.60	0.60	25	15	37 MB	    Download
misc	505K	9M	39	33	0.51	169M	333	391	0.60	0.60	25	15	37 MB	    Download
misc	505K	9M	39	33	0.51	169M	333	391	0.60	0.60	25	15	37 MB	    Download
misc	505K	9M	39	33	0.51	169M	333	391	0.60	0.60	25	15	40 MB	    Download
misc	505K	9M	39	33	0.51	169M	333	391	0.60	0.60	25	15	40 MB	    Download
misc	505K	9M	39	33	0.51	169M	333	391	0.60	0.60	25	15	40 MB	    Download
misc	505K	9M	39	33	0.51	169M	333	391	0.60	0.60	25	15	40 MB	    Download
misc	403K	3M	3K	16	-0.01	27M	67	4K	0.44	0.26	21	9	11 MB	    Download
misc	590K	637K	111K	2	-	6K	-	2K	0.00	0.00	16	3	2 MB	    Download
misc	971K	4M	58K	8	-	18M	18	609K	0.07	0.00	908	23	17 MB	    Download
misc	129K	3M	51K	53	-	580M	5K	12M	0.09	0.03	3K	10	11 MB	    Download
misc	-	-	-	-	-	-	-	-	-	-	-	-	873 MB	    Download
misc	873K	23M	76K	51	-0.96	3B	3K	13M	0.15	0.02	661	26	61 MB	    Download
misc	396K	9M	35K	43	-0.09	111M	280	2M	0.03	0.01	188	12	27 MB	    Download
misc	121K	440K	4K	7	-0.03	989K	8	22K	0.01	0.02	49	8	2 MB	    Download
misc	2M	4M	12K	4	-0.05	8K	-	566	0.00	0.00	19	3	16 MB	    Download
misc	274K	3M	3K	21	-0.34	6M	22	302K	0.00	0.00	397	6	10 MB	    Download
misc	8K	59K	20	14	-0.06	430K	52	80	0.57	0.51	9	8	453 KB	    Download
misc	8K	120K	162	29	0.42	2M	232	6K	0.55	0.50	49	26	2 MB	    Download
misc	7K	62K	4K	18	-0.71	146K	21	8K	0.17	0.00	16	5	137 KB	    Download
misc	11K	91K	4K	16	-0.56	171K	15	11K	0.15	0.00	13	6	210 KB	    Download
misc	9K	73K	379	16	-0.56	20K	2	651	0.02	0.00	12	6	163 KB	    Download
misc	7K	52K	410	14	-0.62	24K	3	644	0.04	0.00	11	5	120 KB	    Download
misc	9K	71K	469	16	-0.53	20K	2	262	0.02	0.00	13	5	158 KB	    Download
misc	8K	20K	757	5	-0.45	29K	3	3K	0.07	0.01	6	4	56 KB	    Download
misc	4K	12K	9	5	0.32	24K	5	9	0.41	0.40	5	3	34 KB	    Download
misc	8K	12K	3	2	-0.02	-	-	-	-	-	3	2	40 KB	    Download
misc	14K	245K	44	34	0.32	4M	309	424	0.57	0.52	21	9	3 MB	    Download
misc	735K	5M	1K	14	-0.01	35M	46	2K	0.39	0.33	21	9	14 MB	    Download
misc	2M	6M	12K	5	-0.02	247K	-	3K	0.00	0.00	130	4	45 MB	    Download
misc	262K	1M	425	9	0.00	5M	17	711	0.43	0.31	11	7	4 MB	    Download
misc	401K	3M	3K	15	-0.02	24M	60	4K	0.43	0.25	21	10	11 MB	    Download
misc	410K	3M	3K	16	-0.01	27M	64	4K	0.43	0.25	21	9	11 MB	    Download
misc	403K	3M	3K	16	-0.01	27M	67	4K	0.44	0.26	21	9	11 MB	    Download
misc	81K	231K	6	5	0.75	-	-	-	-	-	4	2	1005 KB	    Download
misc	715K	2M	7	5	0.75	-	-	-	-	-	4	2	9 MB	    Download
misc	14K	2M	586	262	0.00	41M	3K	7K	0.09	0.08	179	12	20 MB	    Download
misc	23M	640M	576K	28.14	-	-	-	-	-	-	-	-	1 GB	    Download
